initial_position,initial_velocity,controller,final_state_norm,settling_time_s,quadratic_cost,control_energy,max_abs_control
1.5,0.0,LQR,3.3512211263851475e-06,3.37,14.648088325259708,4.456642635355886,4.348469228349534
1.5,0.0,Neural network,8.608063268824432e-06,3.43,14.651754622689669,4.398542622794578,4.367379665374756
-1.5,0.0,LQR,3.3512211263851475e-06,3.37,14.648088325259708,4.456642635355886,4.348469228349534
-1.5,0.0,Neural network,8.540227437634963e-06,3.43,14.65116912481924,4.389157191594415,4.3609843254089355
1.0,1.5,LQR,3.097042361828861e-06,3.5,13.582997380405825,7.576846237440828,6.530457677055545
1.0,1.5,Neural network,8.622639159221499e-06,3.5500000000000003,13.587527626398462,7.50797594392978,6.668258190155029
-1.0,-1.5,LQR,3.097042361828861e-06,3.5,13.582997380405825,7.576846237440828,6.530457677055545
-1.0,-1.5,Neural network,8.499618390445426e-06,3.56,13.586090075361511,7.515173724907528,6.664005279541016
0.5,-2.0,LQR,5.018394958296208e-07,2.56,3.5708128507878527,4.151303514719738,3.3924811792024077
0.5,-2.0,Neural network,1.6471625722961298e-06,3.5100000000000002,3.5741375113535137,4.044630842180635,3.4059417247772217
